η₀,m=0,m=1,m=1.5,m=2,m=2.5
0.46,0.17566559999999998,0.29845499999999997,0.3459149,0.38211029999999996,0.4234626
0.465,0.1818505,0.3043736,0.35321719999999995,0.3984248,0.4331151
0.47,0.18447650000000002,0.3103528,0.3534597,0.407131,0.44288639999999996
0.475,0.1871227,0.31639259999999997,0.36807429999999997,0.40771169999999995,0.4527963
0.48,0.1897689,0.3160971,0.3681909,0.4164534,0.4628349
0.485,0.18860490000000002,0.3221262,0.38326469999999996,0.433896,0.4730022
0.49,0.1950714,0.3348554,0.39099120000000004,0.4430365,0.4832982
0.495,0.19773780000000002,0.3411275,0.39091139999999996,0.4433319,0.5036971
0.5,0.2004143,0.3474602,0.40669669999999997,0.4616508,0.5144637
0.51,0.2016927,0.3603074,0.4227557,0.47118059999999995,0.5257890000000001
0.52,0.20695950000000002,0.36600299999999997,0.43914800000000004,0.5001924,0.5588936
0.53,0.21654400000000001,0.3867391,0.4558938,0.5098400999999999,0.5819216
0.54,0.21756240000000002,0.39238649999999997,0.4729931,0.5298381000000001,0.6055152
0.55,0.2228886,0.4141404,0.4807341,0.5613984,0.6296541999999999
0.56,0.23285550000000002,0.4282097,0.5082522,0.5711706,0.6414012
0.57,0.23361030000000002,0.44253149999999997,0.515988,0.604485,0.6796189
0.58,0.238986,0.44804429999999995,0.5449455,0.6143247000000001,0.7054648
0.59,0.2493286,0.4719124,0.5638325000000001,0.6494502000000001,0.7173837
0.6,0.2498067,0.48698159999999996,0.5830831,0.6593300999999999,0.7438464
0.61,0.26039819999999997,0.4923567,0.6027074,0.6825357,0.7864567
0.62,0.2606868,0.5178775,0.6103746,0.7062066,0.8146357
0.63,0.26615160000000004,0.5337143,0.630333,0.7451073,0.8266994999999999
0.64,0.2771137,0.5389164,0.6638124000000001,0.7549839,0.8727612
0.65,0.2827192,0.5661454,0.6713685,0.7958598,0.884862
0.66,0.2883348,0.5712102,0.7064243,0.8057016,0.9148392
0.67,0.29397059999999997,0.5877333,0.713889,0.8485919,0.9454104
0.68,0.29368350000000004,0.6045237,0.7505714,0.8583696000000001,0.9963246
0.69,0.29922750000000004,0.6215715,0.7579142999999999,0.9033339,1.0083843
0.7,0.30478140000000004,0.6517732,0.7805061,0.9314725,1.0618231
0.71,0.3103551,0.6696906,0.8034741000000001,0.9601160999999999,1.0955167000000001
0.72,0.3159387,0.6878807,0.8435318,0.9892849,1.1298466
0.73,0.3280177,0.6923367,0.8677617,0.9987912,1.1648128000000002
0.74,0.3271257,0.7106913,0.8923854999999999,1.0491779,1.2004355
0.75,0.3327489,0.7440367000000001,0.8992368000000001,1.0585376999999998,1.2122154
0.76,0.3452079,0.7632974,0.924165,1.0891880999999999,1.2736201
0.77,0.3440052,0.7828308,0.9494892,1.1429867,1.2852378
0.78,0.3567118,0.7867431,0.9949106000000001,1.1753269,1.3227290999999999
0.79,0.3553011,0.8227258,1.0013355,1.2082125000000001,1.3608738
